Nazwa pliku: Data/burma14.tsp.txt
Powtórzenia algorytmu: 10
Optymalny koszt: 3323
Otrzymany koszt: ;Wspó³czynnik b³êdu[j]: ;Wspó³czynnik b³êdu[%]: ;Czas wykonywania[ms] ;Rozwi¹zania dla alpha = 1
2087 ; 67 ; 3.31683 ; 192.446 ; 
2087 ; 67 ; 3.31683 ; 193.361 ; 
2087 ; 67 ; 3.31683 ; 196.425 ; 
2087 ; 67 ; 3.31683 ; 193.766 ; 
2087 ; 67 ; 3.31683 ; 191.98 ; 
2087 ; 67 ; 3.31683 ; 192.929 ; 
2087 ; 67 ; 3.31683 ; 199.807 ; 
Œredni czas wykonywania algorytmu [ms]:  ; 174.215
Œredni wspó³czynnik b³êdu [j]:  ; 67
Œredni wspó³czynnik b³êdu [%]:  ; 3.31683
Optymalny koszt:  ; 2020

Nazwa pliku: Data/ftv33.atsp.txt
Powtórzenia algorytmu: 10
Optymalny koszt: 1286
Otrzymany koszt: ;Wspó³czynnik b³êdu[j]: ;Wspó³czynnik b³êdu[%]: ;Czas wykonywania[ms] ;Rozwi¹zania dla alpha = 1
Rozwi¹zania dla beta = 6
1461 ; 175 ; 13.6081 ; 306.144 ; 
1464 ; 178 ; 13.8414 ; 314.762 ; 
1464 ; 178 ; 13.8414 ; 313.606 ; 
1464 ; 178 ; 13.8414 ; 313.895 ; 
1316 ; 30 ; 2.33281 ; 307.082 ; 
1316 ; 30 ; 2.33281 ; 316.495 ; 
1316 ; 30 ; 2.33281 ; 311.285 ; 
1410 ; 124 ; 9.6423 ; 304.07 ; 
1410 ; 124 ; 9.6423 ; 303.299 ; 
1410 ; 124 ; 9.6423 ; 299.916 ; 
Œredni czas wykonywania algorytmu [ms]:  ; 279.064
Œredni wspó³czynnik b³êdu [j]:  ; 117.1
Œredni wspó³czynnik b³êdu [%]:  ; 9.10575
Optymalny koszt:  ; 1286

Rozwi¹zania dla beta = 7
1446 ; 160 ; 12.4417 ; 301.741 ; 
1446 ; 160 ; 12.4417 ; 301.572 ; 
1446 ; 160 ; 12.4417 ; 301.266 ; 
1446 ; 160 ; 12.4417 ; 303.595 ; 
1446 ; 160 ; 12.4417 ; 302.199 ; 
1446 ; 160 ; 12.4417 ; 302.757 ; 
1446 ; 160 ; 12.4417 ; 300.135 ; 
1431 ; 145 ; 11.2753 ; 300.179 ; 
1431 ; 145 ; 11.2753 ; 302.468 ; 
1431 ; 145 ; 11.2753 ; 302.823 ; 
Œredni czas wykonywania algorytmu [ms]:  ; 271.591
Œredni wspó³czynnik b³êdu [j]:  ; 155.5
Œredni wspó³czynnik b³êdu [%]:  ; 12.0918
Optymalny koszt:  ; 1286

Rozwi¹zania dla beta = 8
1454 ; 168 ; 13.0638 ; 302.185 ; 
1454 ; 168 ; 13.0638 ; 304.62 ; 
1454 ; 168 ; 13.0638 ; 303.479 ; 
1410 ; 124 ; 9.6423 ; 306.093 ; 
1410 ; 124 ; 9.6423 ; 298.264 ; 
1410 ; 124 ; 9.6423 ; 304.071 ; 
1410 ; 124 ; 9.6423 ; 307.431 ; 
1454 ; 168 ; 13.0638 ; 308.147 ; 
1454 ; 168 ; 13.0638 ; 299.655 ; 
1454 ; 168 ; 13.0638 ; 304.432 ; 
Œredni czas wykonywania algorytmu [ms]:  ; 273.395
Œredni wspó³czynnik b³êdu [j]:  ; 150.4
Œredni wspó³czynnik b³êdu [%]:  ; 11.6952
Optymalny koszt:  ; 1286

Rozwi¹zania dla beta = 9
1454 ; 168 ; 13.0638 ; 301.79 ; 
1454 ; 168 ; 13.0638 ; 305.999 ; 
1454 ; 168 ; 13.0638 ; 302.079 ; 
1455 ; 169 ; 13.1415 ; 298.339 ; 
1455 ; 169 ; 13.1415 ; 298.278 ; 
1455 ; 169 ; 13.1415 ; 296.905 ; 
1455 ; 169 ; 13.1415 ; 303.718 ; 
1475 ; 189 ; 14.6967 ; 295.009 ; 
1475 ; 189 ; 14.6967 ; 296.583 ; 
1475 ; 189 ; 14.6967 ; 298.072 ; 
Œredni czas wykonywania algorytmu [ms]:  ; 269.87
Œredni wspó³czynnik b³êdu [j]:  ; 174.7
Œredni wspó³czynnik b³êdu [%]:  ; 13.5848
Optymalny koszt:  ; 1286

Nazwa pliku: Data/ftv44.atsp.txt
Powtórzenia algorytmu: 10
Optymalny koszt: 1613
Otrzymany koszt: ;Wspó³czynnik b³êdu[j]: ;Wspó³czynnik b³êdu[%]: ;Czas wykonywania[ms] ;Rozwi¹zania dla alpha = 1
Rozwi¹zania dla beta = 6
1760 ; 147 ; 9.11345 ; 660.642 ; 
1760 ; 147 ; 9.11345 ; 675.283 ; 
1785 ; 172 ; 10.6634 ; 655.712 ; 
1784 ; 171 ; 10.6014 ; 665.526 ; 
1784 ; 171 ; 10.6014 ; 673.99 ; 
1787 ; 174 ; 10.7874 ; 664.617 ; 
1784 ; 171 ; 10.6014 ; 655.652 ; 
1784 ; 171 ; 10.6014 ; 646.023 ; 
1774 ; 161 ; 9.9814 ; 663.68 ; 
1802 ; 189 ; 11.7173 ; 643.362 ; 
Œredni czas wykonywania algorytmu [ms]:  ; 596.112
Œredni wspó³czynnik b³êdu [j]:  ; 167.4
Œredni wspó³czynnik b³êdu [%]:  ; 10.3782
Optymalny koszt:  ; 1613

Rozwi¹zania dla beta = 7
1777 ; 164 ; 10.1674 ; 660.693 ; 
1770 ; 157 ; 9.73342 ; 647.03 ; 
1757 ; 144 ; 8.92746 ; 667.813 ; 
